name,category,formula(repeating unit),crystal system,color,crystal habit,fracture,mohs scale hardness,luster,specific gravity,polish luster,optical properties,refractive index,birefringence,pleochroism,ultraviolet fluorescence,absorption spectra,ima symbol,crystal class,space group,unit cell,formula mass,cleavage,tenacity,streak,diaphaneity,2v angle,fusibility,strunz classification,twinning,dana classification,density,dispersion,solubility,satin spar,selenite,alabaster,other characteristics,lustre,melting point,common impurities,hessonite,tsavorite,leuco-garnet,rosolite,alexandrite,cymophane,diagnostic features,alters to,demantoid,melanite,topazolite,achroite,indicolite,rubellite,verdelite,type,subgroups,composition,total known specimens,jmol (3d),pronunciation,appearance,"",atomic number (z),group,period,block,electron configuration,electrons per shell,phase atstp,boiling point,density (nearr.t.),whenliquid (atm.p.),critical point,heat of fusion,heat of vaporization,molar heat capacity,oxidation states,electronegativity,ionization energies,atomic radius,covalent radius,van der waals radius,natural occurrence,crystal structure,speed of sound thinrod,thermal expansion,thermal conductivity,electrical resistivity,magnetic ordering,molar magnetic susceptibility,young's modulus,shear modulus,bulk modulus,poisson ratio,mohs hardness,vickers hardness,brinell hardness,cas number,discovery,first isolation,titanclinohumite,classification,primary,secondary,fluorcanasite,frankamenite,mesh,ta98,ta2,th,fma,hackmanite,extinction,pyrope,almandine,spessartine,andradite,grossular,uvarovite,nickeloan rosasite,length fast/slow,magnetism,use/purpose,similar occurrences,alternative name,allotropes,recognized as an element by,mineral association,sapphire,ruby,emery,troostite,chinese,hanyu pinyin,ipa,yale romanization,jyutping,hokkien poj,teochew peng'im,vietnamese alphabet,hangul,hanja,revised romanization,kanji,romanization,traditionalchinese,simplified chinese,literal meaning,wade–giles,relief,optical sign,color in ppl,fabric,protoliths,tanzanite,thulite,manganophyllite
carnelian,chalcedony variety,"silica (silicon dioxide, sio2)",trigonal,"red, orange, reddish",,"uneven, splintery, conchoidal",6.5 – 7.0,waxy to resinous,2.58 - 2.64,,uniaxial +,1.535 to 1.539,0.003 to 0.009,none,,,,,,,60 g/mol,absent,,white,translucent to opaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austinite,arsenate minerals,caznaso4(oh),orthorhombic,"colourless, white to pale yellowish-white or bright green, colourless in transmitted light[4]","well developed orthorhombic crystals of bladed or acicular habit elongated parallel to the c axis, sometimes with sceptre-like terminations, also radially fibrous crusts and nodules. common forms are {110}, {111}, {1–11}, {010} and {011}.[2]",,4 to 4.5,subadamantine to silky in fibrous aggregates,4.12,,biaxial (+),"nα = 1.759, nβ = 1.763, nγ = 1.783,",0.024[2],,,,aus[1],disphenoidal (222) h-m symbol: (2 2 2),p212121[2],"a = 7.43, b = 9.00 c = 5.90[å], z=4[3]",261.38 g/mol,good in two directions parallel to the prism faces {110}[2],brittle,white,translucent to transparent,47°[2],,8.bh.35,"left- and right-handed individuals joined on {100}, with {010} and {001} coincident.[5]",41.5.1.3,,r > v weak,easily soluble in cold dilute hcl[2],,,,non-radioactive. some austinite fluoresces green under swuv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celestine,sulfate minerals,srso4 sometimes contains minor calcium and/or barium,orthorhombic,"white, pink, pale green, pale brown, black, pale blue, reddish, greyish; colourless or lightly tinted in transmitted light","tabular to pyramidal crystals, also fibrous, lamellar, earthy, massive granular",uneven,3.0–3.5,"vitreous, pearly on cleavages",3.95–3.97,,biaxial (+),nα = 1.619–1.622 nβ = 1.622–1.624 nγ = 1.630–1.632,δ = 0.011,weak,"yellow, white blue (both short & long uv)",,clt[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pnma,"a = 8.359å, b = 5.352å, c = 6.866å; z=4",,"perfect on {001}, good on {210}, poor on {010}",brittle,white,transparent to translucent,measured: 50°–51°,,7.ad.35,,,,moderate r < v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrargyrite,sulfosalt,ag3sbs3,trigonal,deep red to red gray,"include prismatic crystals with rhombohedral and scalenohedral faces forming terminations. massive, granular","conchoidal, uneven",2.5,adamantine,5.82,,uniaxial (–),nω = 3.084 nε = 2.881,δ = 0.203,distinct,,,pyg[1],ditrigonal pyramidal (3m) (same h-m symbol),r3c,"a = 11.047å, c = 8.719å; z=6",,"distinct on {1011}, imperfect on {0112}",brittle,dark cherry red,translucent to nearly opaque,,,2.ga.05,complex to lammellar,,,,,,,,darkens upon exposure to light; crystals are frequently striated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheelite,tungstate mineral,cawo4,tetragonal,"colorless, white, gray, dark brown, brown, tan, pale yellow, yellow-orange, golden yellow, pale shades of orange, red, green, etc.; colorless in transmitted light and may be compositionally color zoned","pseudo-octahedra, massive, columnar, granular",subconchoidal to uneven,4.5–5,vitreous to adamantine,5.9–6.1,,uniaxial (+),"nω = 1.918–1.921, nε = 1.935–1.938",δ = 0.017,definite dichoric in yellow (yellow to orange-brown),,,sch[1],dipyramidal (4/m) h-m symbol: (4/m),i41/a,"a = 5.2429(3),å c = 11.3737(6)å; z=4",,"on {101}, distinct; on {112}, interrupted; on {001}, indistinct",brittle,white,transparent to opaque,,with difficulty,7.ga.05,"common, penetration and contact twins, composition plane {110} or {001}",,,,soluble in alkalis. insoluble in acids,,,,"fluorescence under short-wave uv is bright blue, bluish white to yellow.  specimens with more molybdenum tend to fluoresce white to yellow, similar to powellite. occasionally fluoresces red under mid-wave uv.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ludlamite,phosphate mineral,"(fe,mn,mg)3(po4)2·4h2o",monoclinic,apple-green to bright green,"tabular crystals; massive, granular",,3.5,"vitreous, pearly on cleavage",3.12–3.19,,biaxial (+),nα = 1.650 - 1.653 nβ = 1.669 - 1.675 nγ = 1.688 - 1.697,δ = 0.038 - 0.044,,,,lud[1],prismatic (2/m) (same h-m symbol),p21/a,"a = 10.541(5), b = 4.646(4) c = 9.324(5)[å]; β = 100.52°; z=2",,"cleavage: perfect on {001}, indistinct on {100}",,pale greenish white,translucent,measured: 82°,,8.cd.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opal,mineraloid,hydrated silica. sio2·nh2o,amorphous[2],"colorless, white, yellow, red, orange, green, brown, black, blue, pink","irregular veins, in masses, in nodules",conchoidal to uneven[2],5.5–6[2],subvitreous to waxy[2],2.15+0.08−0.90[2],vitreous to resinous[2],"single refractive, often anomalous double refractive due to strain[2]","1.450+0.020−0.080mexican opal may read as low as 1.37, but typically reads 1.42–1.43[2]",none[2],none[2],"black or white body color: inert to white to moderate light blue, green, or yellow in long and short wave, may also phosphoresce, common opal: inert to strong green or yellowish green in long and short wave, may phosphoresce; fire opal: inert to moderate greenish brown in long and short wave, may phosphoresce[2]","green stones: 660nm, 470nm cutoff[2]",opl[1],,,,,none[2],,white,"opaque, translucent, transparent",,,,,,2.09 g/cm3,,"hot salt water, bases, methanol, humic acid, hydrofluoric acid",,,,,,,,,,,,,,darkening upon heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanzanite,sorosilicate: zoisite variety,"(ca2al3(sio4)(si2o7)o(oh)) + (cr,sr)",orthorhombic[1],"royal blue, indigo, violet/purple",prismatic crystals with striations; massive to columnar[1][2],uneven to conchoidal[1],6.5,"vitreous, pearly on cleavage surfaces",3.10–3.38,,biaxial positive,1.69–1.70,0.006–0.018,"present, dichroism or trichroism, depending on heat treatment",,,,,pnma (no. 62),,,"perfect{010}, imperfect{100}[1]",,white or colorless,,,,09.bg.10,penetration twins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
druzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chondrodite,nesosilicates,mg5(sio4)2f2,monoclinic,"yellow, orange, red or brown, rarely colorless","typically anhedral masses or grains, or as plates flattened on {010}, {001} or {100}.[2]",conchoidal to uneven,6 to 6.5,vitreous to greasy,3.1 to 3.26,,biaxial(+),"nα = 1.592 - 1.643, nβ = 1.602 - 1.655, nγ = 1.619 - 1.675,",0.027 - 0.032,"x golden yellow to orange, y and z light yellow to almost colorless[3]",,,chn[1],prismatic (2/m) (same h-m symbol),p21/a,,351.6 g/mol,poor to good on (001),brittle,grey or yellow,translucent,,,9.af.45 (10th edition) 8/b.04-20 (8th edition),"simple or multiple twinning common on {001}, also reported on {105} and {305}.[2]",52.3.2b.2,,,soluble in hcl and h2so4,,,,some specimens fluoresce orange yellow under shortwave and orange under longwave uv.  not radioactive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algodonite,sulfide mineral,cu6as,hexagonal,"gray, silver white, steel gray, tarnishes dull bronze","massive, granular. common texture observed in granite and other igneous rock",sub-conchoidal,4,metallic,"8.38 (measured), 8.72 (calculated)",,,,,,,,ago[1],dihexagonal dipyramidal (6/mmm) h-m symbol: (6/m 2/m 2/m),p63/mmc,"a = 2.6, c = 4.228[å]; z=2",456.2 g/mol,,,,opaque,,,2.aa.10a,,,,,,,,,"non-magnetic, non-fluorescent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datolite,nesosilicate,cabsio4(oh),monoclinic,"colorless or white; may be grayish, yellow, green, pale green, red, pink, etc.","crystal prismatic, short to tabular; botryoidal or globular with columnar structure; granular to compact; cryptocrystalline",conchoidal to uneven,5 to 5.5,"vitreous, rarely subresinous on fracture surface",2.96 – 3.00,,biaxial (-),nα = 1.626 nβ = 1.653 - 1.654 nγ = 1.670,δ = 0.044,,fluoresces blue under sw uv,,dat[1],prismatic (2/m) (same h-m symbol),p21/c,"a = 9.62, b = 7.6 c = 4.84[å]; β = 90.15°; z=4",,none,brittle,,"transparent to translucent, rarely opaque",measured: 74°,,9.aj.20,,,,r > v; weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rosasite,carbonate mineral,"(cu,zn)2(co3)(oh)2",monoclinic,"blue, bluish green, green",acicular crystals as radiating fibrous clusters; botryoidal; mammillary; encrustations,"splintery, fibrous",4,"silky, vitreous to dull",4-4.2,,biaxial (-),nα = 1.672 - 1.688 nβ = 1.796 - 1.830 nγ = 1.811 - 1.831,δ = 0.139 - 0.143,strong: x = pale emerald green or colourless;  y = dark emerald green or pale blue; z = dark emerald green or pale blue,,,rss[1],prismatic (2/m) (same h-m symbol),p21/a,"a = 12.873(3)å, b = 9.354(3)å c = 3.156(2)å; β = 110.36(3)°; z=4",,perfect on {100} and {010},brittle,light blue or green,,measured: 33°,,5.ba.10,on {100},,,,"effervesces in cold, dilute hydrochloric acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anyolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrysocolla,"phyllosilicate minerals, mineraloids",cu2 − xalx(h2si2o5)(oh)4·nh2o (x<1)[1],orthorhombic unknown space group,"blue, cyan (blue-green), green, dark blue to black, brown, rarely yellow","massive, nodular, botryoidal","irregular/uneven, sub-conchoidal","2.5–3.5 (7 for chrysocolla chalcedony, high-silica content)",vitreous to dull,1.9–2.4,,biaxial (-),nα = 1.575–1.585 nβ = 1.597 nγ = 1.598–1.635,δ = 0.023–0.050,,,,ccl[2],,,"a = 5.7å, b = 8.9å, c = 6.7å; z=1",,none,brittle to sectile,white to a blue-green color,translucent to opaque,,,9.ed.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
periclase,oxide minerals,mgo,isometric,"colorless, grayish white, yellow, brownish yellow, green, black","granular, generally occurs as anhedral to subhedral octahedral crystals in matrix",conchoidal,6,vitreous,3.56–3.68 (meas.) 3.58 (calc.),,isotropic,n = 1.735–1.745,,,,,per[1],hexoctahedral (m3m)h-m symbol: (4/m 3 2/m),fm3m,4.21å; z=4,,"{001} perfect; {111} imperfect, may exhibit parting on
{011}",brittle,white,transparent to translucent,,,4.ab.25,,,,,,,,,"fluorescent, long uv=light yellow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yugawaralite,zeolite group,caal2si6o16 · 4h2o,monoclinic,"colorless, pink, or white",,,4.5-5,"vitreous, pearly",,,,,,,,,,,,,,"poor, indistinct",very brittle,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vishnevite,tectosilicate,"(na,ca,k)6(si,al)12o24[(so4),(co3),cl2]2-4·nh2o",hexagonal,"colorless, light blue, orange-yellow, white",,,5 - 6,"vitreous, pearly",,,uniaxial (-),nω = 1.490 - 1.507 nε = 1.488 - 1.495,δ = 0.002 - 0.012,,,,vhn[1],pyramidal (6) h-m symbol: (6),p63,a = 12.7228(3) c = 5.198(3)[å]; z=1,,perfect,,white,,,,9.fb.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thaumasite,sulfate minerals,"ca3si(oh)6(co3)(so4)·12h2o
casi(oh)6·caco3·caso4·12h2o

casio3·caco3·caso4·15h2o",hexagonal,"colorless, white, pale yellow","prismatic, fibrous, massive, radial",subconchoidal,3.5,vitreous to silky,1.877,,uniaxial (-),nω = 1.498–1.507 nε=1.458–1.470,δ = 0.039,,,,tma[1],pyramidal (6) h-m symbol: (6),p63,"a = 11.030(7), c = 10.396(6)[å]; z=2",622.62 g/mol,indistinct,brittle,white,transparent to translucent,,,7.dg.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ilmenite,oxide mineral,"iron titanium oxide, fetio3",trigonal,iron-black; gray with a brownish tint in reflected light,granular to massive and lamellar exsolutions in hematite or magnetite,conchoidal to subconchoidal,5–6,metallic to submetallic,4.70–4.79,,uniaxial (–),,"strong; o = pinkish brown, e = dark brown (bireflectance)",,,,ilm[1],rhombohedral (3) h-m symbol: (3),r3 (no. 148),a = 5.08854(7) c = 14.0924(3)[å]: z=6,,absent; parting on {0001} and {1011},brittle,black,opaque,,,4.cb.05,"{0001} simple, {1011} lamellar",04.03.05.01,,,,,,,weakly magnetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red beryl,cyclosilicate beryl,be3al2si6o18 with a mix of mn3+ ions,hexagonal,dark red,,,7.5-8,,,,,,,,none,,,,p6/mcc,,,,,white,,,,,extremely rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anatase,oxide minerals,tio2,tetragonal,"black, reddish to yellowish brown, dark blue, gray","pyramidal (crystals are shaped like pyramids), tabular (form dimensions are thin in one direction).",subconchoidal,5.5–6,"adamantine to splendent, metallic",3.79–3.97,,"uniaxial (-), anomalously biaxial in deeply colored crystals","nω = 2.561, nε = 2.488",δ = 0.073,weak,,,ant[1],ditetragonal dipyramidal (4/mmm) h-m symbol: (4/m 2/m 2/m),i41/amd,"a = 3.7845, c = 9.5143[å]; z=4",79.88 g/mol,perfect on [001] and [011],brittle,pale yellowish white,transparent to nearly opaque,,,4.dd.05,rare on {112},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beryllonite,phosphate minerals,nabepo4,monoclinic,"colorless, white to pale yellow","crystals tabular {010} to short prismatic also in spherical aggregates, fibrous, massive; orthorhombic pseudo-symmetry",conchoidal,5.5 - 6,"vitreous to adamantine, may be pearly on {010}",2.8,,biaxial (-),nα = 1.552 nβ = 1.558 nγ = 1.561,δ = 0.009,,,,bel[1],prismatic (2/m) (same h-m symbol),p21/n,,,"{010} perfect; {100} good, interrupted; {101} indistinct; {001} in traces",brittle,white,transparent to translucent,68°,,8.aa.10,"polysynthetic, contact and penetration twins; pseudo-hexagonal stellate forms",38.01.05.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhodizite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
witherite,carbonate mineral,baco3,orthorhombic,"colorless, white, pale gray, with possible tints of pale-yellow, pale-brown, or pale-green","striated short prismatic crystals, also botryoidal to spherical,
columnar fibrous, granular, massive.",subconchoidal,3.0 - 3.5,"vitreous, resinous on fractures",4.3,,biaxial (-),nα = 1.529 nβ = 1.676 nγ = 1.677,δ = 0.148,,"fluorescent and phosphorescent, short uv=bluish white, long uv=bluish white",,wth[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pmcn,"a = 5.31å, b = 8.9å c = 6.43å; z=4",,"distinct on {010} poor on {110}, {012}",,white,subtransparent to translucent,"measured: 16°, calculated: 8°",,5.ab.15,"on {110}, universal",,,weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiddenite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sard,chalcedony variety,"silica (silicon dioxide, sio2)",trigonal,"red, orange, reddish",,"uneven, splintery, conchoidal",6.5 – 7.0,waxy to resinous,2.58 - 2.64,,uniaxial +,1.535 to 1.539,0.003 to 0.009,none,,,,,,,60 g/mol,absent,,white,translucent to opaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arfvedsonite,inosilicatesamphiboles,[na][na2][(fe2+)4fe3+][(oh)2|si8o22],monoclinic,"black, deep green on thin edges","fibrous, radial prismatic aggregates",uneven,5–6,vitreous,3.3–3.5,,biaxial (-),nα = 1.652–1.699 nβ = 1.660–1.705 nγ = 1.666–1.708,δ = 0.014,"strong: blue-greens, yellow-browns, gray-violets",,,arf[1],prismatic (2/m) (same h-m symbol),c2/m,,,perfect on [110],brittle,"deep bluish gray, gray-green",translucent to opaque,,,9.de.25 (10 ed) viii/f.08-100 (8 ed),simple or lamellar parallel to [100],66.1.3c.9,,r > v strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plagioclase,"feldspar mineral group, tectosilicate",naalsi3o8 – caal2si2o8,triclinic,"white, gray, or bluish white",,,6–6.5,vitreous,2.62 (albite) to 2.76 (anorthite)[2],,"biaxial (+) albite, biaxial (-) anorthite[2]","albite: nα 1.527, nβ 1.532 nγ 1.538anorthite: nα 1.577 nβ 1.585 nγ 1.590[2]",,,,,pl[1],pinacoidal (1) (same h-m symbol),c1,,,,,white,transparent to translucent,,,,,,,,"albite insoluble in hcl, anorthite decomposed by hcl[2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crocoite,chromate minerals,lead chromate pbcro4,monoclinic,"orange, red, yellow; orange-red in transmitted light.",coarsely crystalline to acicular,conchoidal to uneven,2.5–3,"adamantine, sub-adamantine, sub-vitreous, resinous, waxy",5.9–6.1,,biaxial (+),nα = 2.290(2) nβ = 2.360(2) nγ = 2.660(2),δ = 0.370,weak,,,crc[1],prismatic (2/m)(same h-m symbol),p21/n,"a = 7.12å, b = 7.421å,c = 6.8å; β = 102.41°; z=4",,distinct on {110} indistinct on {001} and {100},sectile,yellowish orange,transparent to translucent,,,7.fa.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esperite,silicate mineral,pbca3zn4(sio4)4,monoclinic,white,typically massive,"conchoidal, brittle",5 - 5.5,vitreous,4.28 - 4.42,,"biaxial (-), 2v measured: 5° to 40°",nα = 1.762 nβ = 1.770 nγ = 1.774,max δ = 0.012,,,,epr[1],prismatic (2/m) (same h-m symbol),p21/m,,,distinct on [010] and [100] - poor on [101],,white,subtranslucent to opaque,,,9.ab.15,,,,,,,,,brilliant yellow fluorescence under sw uv; kelly green cathodoluminescence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kutnohorite,carbonate mineral,camn2+(co3)2,trigonal,"white, pale pink or light brown",aggregates of bundled bladed crystals,subconchoidal,3.5–4,vitreous to dull,3.12,,uniaxial (-),"no = 1.710–1.727,ne = 1.519–1.535",0.191–0.192,,,,kut[1],rhombohedral (3) h-m symbol: (3),r3,330.60 å³,215.0 g/mol (end member),perfect on {1011},brittle,white to pale pink,translucent,,,5.ab.10,,14.2.1.3,3.10–3.12,,soluble in acids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekanite,silicate mineral,"ca2thsi8o20 or (ca,fe,pb)2(th,u)si8o20",tetragonal,"green, yellow, dark red","pyramidal crystals, granular to massive","brittle, uneven",4.5,vitreous,2.95 - 3.28,,uniaxial (-),nω = 1.580 nε = 1.568,δ = 0.012,,,,ek[1],trapezohedral (422) h-m symbol: (4 2 2),i422,,,distinct on {101},,white,transparent to translucent,10 - 15°,,9.ea.10,,,,,,,,," radioactive, metamict",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
