name,crystal system,color,crystal habit,mohs scale hardness,luster,tenacity,diaphaneity,solubility
milky quartz,α-quartz: trigonal β-quartz: hexagonal,"colorless through various colors (pink, orange, purple, dark brown)
 to black","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",7– lower in impure varieties (defining mineral),vitreous– waxy to dull when massive,brittle,transparent to nearly opaque,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[3]
phosgenite,tetragonal,"pale yellow to yellowish brown, pale brown, smoky brown, smoky violet, colorless, pale rose, gray, yellowish gray, pale green","short prismatic crystals, granular, massive",2 – 3,adamantine,"sectile, flexible perpendicular to {001}",transparent to translucent,"soluble in dilute nitric acid with effervescence, decomposes slowly in cold water"
nuummite,,"black, grey",,5.5 - 6.0,vitreous/glossy,,opaque,
pyrope,cubic,"blood red to black red, red, orange red, pink,  some varieties are very dark, almost black, while others can take tones of purple to purple red, some chromium-rich pyropes are thermochromic, becoming green when heated.[2]","euhedra typically display rhombic dodecahedral form, but trapezohedra are not uncommon, and hexoctahedra are seen in some rare samples. massive and granular forms also occur.",7.0–7.5,greasy to vitreous[3],,,"insoluble in water, weakly soluble in hf"
goosecreekite,,,,,,,,
charoite,monoclinic,"violet, lilac, light brown","fibrous, massive",5 - 6,vitreous to pearly,,translucent,
corundum,trigonal,"colorless, gray, golden-brown, brown; purple, pink to red, orange, yellow, green, blue, violet; may be color zoned, asteriated mainly grey and brown","steep bipyramidal, tabular, prismatic, rhombohedral crystals, massive or granular",9 (defining mineral)[2],adamantine to vitreous,brittle,"transparent, translucent to opaque",insoluble
stilbite,"monoclinic, also triclinic and orthorhombic","usually colorless, white or pink","thin tabular, aggregates sheaf-like or in bow-ties, also fibrous and globular.",3+1⁄2 to 4,"vitreous, pearly on {010}",brittle,transparent to translucent,decomposes in hcl[6]
eilat stone,,,,,,,,
adularia,monoclinic,"colorless, greenish, greyish yellow, white, pink",can be anhedral or euhedral. grains are commonly elongate with a tabular appearance.,6 (defining mineral),"vitreous, pearly on cleavage surfaces",,transparent to translucent,
oregon sunstone,triclinic,"colorless, orange, yellow, red, green, blue, brown and copper shiller","euhedral crystals, granular",6.0–6.5,,,transparent to translucent and opaque,
sugilite,hexagonal,"light brownish-yellow, purple, violet, reddish violet, pale pink, colorless","prismatic crystals, typically granular to massive",6–6+1⁄2,vitreous,,transparent to translucent,
staurolite,monoclinic,"dark reddish brown to blackish brown, yellowish brown, rarely blue; pale golden yellow in thin section",commonly in prismatic crystals,7 - 7.5,subvitreous to resinous,brittle,transparent to opaque,
atacamite,orthorhombic,"bright green, dark emerald-green to blackish green","slender prismatic crystals, fibrous, granular to compact, massive",3 - 3.5,adamantine to vitreous,brittle,transparent to translucent,
beudantite,trigonal,"black, dark green, brown, yellowish, red, greenish yellow, brown","tabular, acute rhombohedral, pseudo-cubic, pseudo-cuboctahedral",3.5-4.5,"vitreous, resinous",,"transparent, translucent",
pyroxmangite,triclinic,"pink, red, brown",,5+1⁄2 – 6,"vitreous, pearly",brittle,"transparent, translucent",
natrolite,orthorhombic,"white, colorless, sometimes pink",acicular,5-6,"vitreous, silky, pearly",brittle,transparent to translucent,
ettringite,trigonal,"colorless, pale yellow, milky white","acicular growth, striated prismatic crystals; fibrous to cottonlike",2-2.5,vitreous,,transparent to opaque,partially soluble in water
demantoid,cubic,light to deep green,,6.5–7.0,adamantine,,,
coral,,,,,,,,
amethyst,trigonal,"purple, violet, dark purple",6-sided prism ending in 6-sided pyramid (typical),7–lower in impure varieties,vitreous/glassy,,transparent to translucent,insoluble in common solvents
cinnabar,trigonal,"cochineal-red, towards brownish red and lead-gray",rhombohedral to tabular; granular to massive and as incrustations,2.0–2.5,adamantine to dull,slightly sectile,transparent in thin pieces,1.04×10−25g/100 ml water(ksp at 25°c = 2×10−32)[2]
fuchsite,monoclinic,light to medium green,curved aggregates,2.5,vitreous to pearly,,transparent to opaque,
willemite,trigonal,"colorless to white, gray, black, flesh-red, burgundy-red, pink, brown, dark brown, mahogany-brown, honey-yellow, yellow, apple-green, blue, pastel green, light blue, azure-blue","fibrous, botryoidal to massive",5.5,vitreous to resinous,,transparent to opaque,
cuprite,cubic,"dark red to conchineal red, sometimes almost black","cubic, octahedral, and dodecahedral crystals; as hairlike capillary forms, earthy, compact granular and massive",3.5 to 4,"adamantine, sub-metallic, earthy",brittle,"transparent, translucent",
wardite,tetragonal,"white, colorless, pale green, blue-green, yellow-green, pale yellow, yellow pink.","dipyramidal pseudo-octahedral crystals, striated; radial, fibrous, encrustations",5,vitreous,,transparent to opaque,
microlite,cubic,,,,,,,
pumpellyite,monoclinic,olive green to bluish green,,5.5-6,"vitreous, dull",brittle,translucent,
seraphinite,,,,,,,,
jade,monoclinic,"virtually all colors, mostly green",intergrown grainy or fine fibrous aggregate,6–7,,brittle,"translucent, opaque",
hemimorphite,orthorhombic,"white, grey","polar crystals, with different or hemimorphic ends. also coxcomb masses, mammillary, stalactitic, or massive",4.5-5,"vitreous, adamantine, rarely silky",brittle,transparent to translucent,soluble in acid
hydrogrossular,cubic,"green to bluish green, pink, white, gray",massive,7–7.5,vitreous,,,
helenite,,,,,,,,
cancrinite,hexagonal,"grey-green, white, yellow, blue, orange, reddish",rare as prismatic crystals; typically massive,5–6,"vitreous, greasy, pearly",brittle,"transparent, translucent",
nosean,cubic,,,,,,,
rutile,tetragonal,"brown, reddish brown, blood red, red, brownish yellow, pale yellow, yellow, pale blue, violet, rarely grass-green, grayish black; black if high in nb–ta","acicular to prismatic crystals, elongated and striated parallel to [001]",6.0–6.5,adamantine to metallic,,"opaque, transparent in thin fragments",insoluble in acids
kyanite,triclinic,"blue, white, rarely green, light gray to gray, rarely yellow, pink, orange, and black, can be zoned",columnar; fibrous; bladed,4.5-5 parallel to one axis  6.5-7 perpendicular to that axis,vitreous to white,brittle,transparent to translucent,
boracite,orthorhombic,"colorless, white, gray, brown, orange, yellow, pale green, dark green, blue-green, or blue; colorless in transmitted light","crystalline, disseminated (pseudocubic)",7 - 7.5,vitreous - adamantine,brittle,subtransparent to translucent,very slowly soluble in h2o; slowly but completely soluble in hcl
sphalerite,cubic,"light to dark brown, red-brown, yellow, red, green, light blue, black and colourless.",euhedral crystals – occurs as well-formed crystals showing good external form. granular – generally occurs as anhedral to subhedral crystals in matrix.,3.5–4,"adamantine, resinous, greasy",,"transparent to translucent, opaque when iron-rich",
andradite,cubic,"yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored","commonly well-crystallized dodecahedra, trapezohedra, or combinations, also granular to massive",6.5 to 7,"adamantine to resinous, dull",brittle,transparent to translucent,
grossular,cubic[2],"light to dark green, light to dark yellow to reddish brown, brown, orange, red, yellow, green, white, occasionally translucent to opaque pink. it is also but rarely
found in colorless form[2]",,6.5 to 7[2],greasy to vitreous[2],,,
feldspar,triclinic or monoclinic,"pink, white, gray, brown, blue",,6.0–6.5,vitreous,,opaque,
chrysotile,monoclinic: clinochrysotile (most common)orthorhombic: orthochrysotile and parachrysotile (both rare),white to greyish green,acicular,2.5–3,,,translucent,insoluble in waterfibres degrade in dilute acid
hureaulite,monoclinic,"orange, red, yellow, brown, grey or nearly colourless","crystals are short prismatic parallel to (100) or equant, sometimes thick tabular, also massive or imperfectly fibrous[2]",3.5,,brittle,transparent to translucent,easily soluble in acids.
magnesite,trigonal,"colorless, white, pale yellow, pale brown, faintly pink, lilac-rose","usually massive, rarely as rhombohedrons or hexagonal prisms",3.5 – 4.5,vitreous,brittle,transparent to translucent,effervesces in hot hcl
olivine,orthorhombic,yellow to yellow-green,massive to granular,6.5–7.0,vitreous,brittle,transparent to translucent,
bayldonite,monoclinic,"green, apple-green",mammillary crust,4+1⁄2,"resinous, waxy, greasy",brittle,"transparent, translucent",
asbestos,"orthorhombic, monoclinic","green, red, yellow, white, gray, blue","amorphous, granular, massive",2.5.6.0,silky,,,
realgar,monoclinic,"red to yellow-orange; in polished section, pale gray, with abundant yellow to red internal reflections","prismatic striated crystals; more commonly massive, coarse to fine granular, or as incrustations",1.5–2,resinous to greasy,"sectile, slightly brittle",transparent,
agrellite,triclinic,"white, grayish-white, greenish-white","lath - shaped like a small, thin plaster lath, rectangular in shape",5.5,pearly,,translucent,
phosphophyllite,monoclinic,blue-green to colourless,prismatic,3.5,vitreous,,transparent,
kaolinite,triclinic,"white to cream, sometimes red, blue or brown tints from impurities and pale-yellow; also often stained various hues, tans and browns being common.","rarely as crystals, thin plates or stacked. more commonly as microscopic pseudohexagonal plates and clusters of plates, aggregated into compact, claylike masses",2–2.5,pearly to dull earthy,flexible but inelastic,,
richterite,monoclinic,"brown, yellow, red, or green",prismatic; acicular or asbestiform,5-6,vitreous,,transparent to translucent,
legrandite,monoclinic,"bright yellow, wax-yellow, colorless","crystalline, prismatic, typically in sprays or sheaflike aggregates",4.5-5,vitreous,brittle,transparent to translucent,
microcline,,"white, grey, greyish yellow, yellowish, tan, salmon-pink, bluish green, green.",can be anhedral or euhedral. grains are commonly elongate with a tabular appearance. may contain lamellae which formed from exsolved albite.,6-6.5,vitreous,brittle,"transparent, translucent",
azurmalachite,,,,,,,,
wilkeite,hexagonal,"light red, yellow, bluish green or colorless","acicular or hexagonal prismatic crystals, and fine-grained aggregates",4+1⁄2,sub-resinous to vitreous[3],very brittle,transparent to translucent,easily soluble in dilute hydrochloric and nitric acids[3]
cavansite,orthorhombic,brilliant sky-blue to greenish blue,radiating acicular prismatic crystals commonly as spherulitic rosettes,3 - 4,"vitreous, pearly",brittle,transparent,
quartzite,,,,,,,,
zoisite,orthorhombic,"white, gray, greenish brown, greenish gray, pink, blue, purple",prismatic crystals with striations; massive to columnar,6 to 7,"vitreous, pearly on cleavage surfaces",,transparent to translucent,
aventurine,,,,,,,,
biotite,monoclinic,"dark brown, greenish-brown, blackish-brown, yellow",massive to platy,2.5–3.0,vitreous to pearly,"brittle to flexible, elastic",transparent to translucent to opaque,
erythrite,monoclinic,"crimson to peach-red, pale rose, or pink, may be zoned","radial or stellate aggregates, fibrous, drusy; usually powdery and massive - rarely as striated prismatic crystals",1.5 - 2.5,"subadamantine, pearly on cleavages",sectile,transparent to translucent,
sinhalite,orthorhombic,,,6+1⁄2-7,,,,
flint,,,,,,,,
chlorastrolite,,,,,,,,
rhodolite,cubic,light to dark purplish red through reddish purple,,7.0–7.5,greasy to vitreous,,,
londonite,,,,,,,,
anhydrite,orthorhombic,"colorless to pale blue or violet if transparent; white, mauve, rose, pale brown or gray from included impurities","rare tabular and prismatic crystals. usually occurs as fibrous, parallel veins that break off into cleavage fragments. also occurs as grainy, massive, or nodular masses",3.5,pearly on {010} vitreous to greasy on {001} vitreous on {100},brittle,transparent to translucent,
tremolite,monoclinic,"white, gray, lavender to pink, light green, light yellow","elongated prismatic, or flattened crystals; also as fibrous, granular or columnar aggregates",5 – 6,vitreous and silky,brittle,transparent to translucent,
hardystonite,tetragonal,"light brownish white, pale greyish-white, very pale pink",massive granular,3-4,"vitreous, resinous, greasy, dull",brittle,transparent to translucent,
heliodor,hexagonal,"green, blue, yellow, colorless, pink, and others","prismatic to tabular crystals; radial, columnar; granular to compact massive",7.5–8.0,vitreous to resinous,brittle,transparent to translucent,
halite,cubic[2],"colorless or white when pure. impurities produce any color but usually yellow, gray, black, brown, red (depends on isotopes and purity for various colours)[2]","predominantly cubes and in massive sedimentary beds, but also granular, fibrous and compact",2.0–2.5,vitreous,brittle,transparent to translucent,water-soluble
sardonyx,trigonal,various,,6.5–7,"vitreous, silky",,translucent,
zincite,hexagonal,"orange, yellow-orange to deep red, red, rarely yellow, rarely green and colorless to white","disseminated – occurs in small, distinct particles dispersed in matrix.",4,subadamantine to resinous,brittle,"translucent, transparent in thin fragments",
pietersite,,golden to red-brown,,6.5-7,silky,,,
neptunite,monoclinic,black; deep red-brown in thin fragments,prismatic or tabular,5-6,vitreous,brittle,nearly opaque,
spessartite,,,,,,,,
sylvite,isometric,"colorless to white, pale gray, pale blue; may be yellowish red
to red due to hematite inclusions","as cubes and octahedra; columnar, in crusts, coarse granular, massive",2,vitreous,brittle to ductile,transparent to translucent,soluble in water
covellite,hexagonal,"indigo-blue or darker, commonly highly iridescent, brass-yellow to deep red",thin platy hexagonal crystals and rosettes also massive to granular.,1.5 - 2,"submetallic, inclining to resinous to dull",flexible,opaque,
smoky quartz,α-quartz: trigonal trapezohedral class 3 2; β-quartz: hexagonal 622[1],"brown to grey, opaque","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",7– lower in impure varieties (defining mineral),,brittle,transparent to nearly opaque,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[1]
kurnakovite,triclinic,white; colorless in transmitted light,aggregates of prismatic crystals,2+1⁄2 - 3,vitreous,,transparent to translucent,
herderite,monoclinic,"colourless, pale yellow, greenish-white","occurs as prismatic tabular crystals, pseudo-orthorhombic or pseudo-hexagonal; fibrous botryoidal to spheroidal aggregates",5 - 5.5,,,transparent - translucent,
manganaxinite,triclinic,"reddish brown to yellow to colorless. blue, violet, grey.","tabular, wedge shaped crystals",6.0–7.5,vitreous,,,
nickeline,hexagonal,pale copper red with blackish tarnish. white with strong yellowish pink hue on polished section strongly anisotropic,"massive columnar to reniform, rarely as distorted, horizontally striated, {1011} terminated crystals",5 - 5.5,metallic,brittle,opaque,
chalcopyrite,tetragonal,"brass yellow, may have iridescent purplish tarnish.","predominantly the disphenoid and resembles a tetrahedron, commonly massive, and sometimes botryoidal.",3.5–4,metallic,brittle,opaque,soluble in hno3
schizolite,triclinic,pale red or pink to brownish,bladed,5.5,"vitreous, sub-vitreous",brittle,"transparent, translucent",
wurtzite,hexagonal,"brownish black, orange brown, reddish brown, black.",radial clusters and colloform crusts and masses. also as tabular crystals,3.5-4,"resinous, brilliant submetallic on crystal faces",,translucent,
kornerupine,orthorhombic,"colorless, white, grey, greenish, bluish, brown, black","prismatic crystals, radiating, massive, fibrous",6 to 7,vitreous,,transparent to translucent and opaque,
anglesite,orthorhombic,"colorless to white, commonly tinted gray; orange, yellow, green, blue, rarely violet","granular, banded, nodular to stalactitic",2.5–3.0,"adamantine crystals, dull when massive earthy",brittle,transparent to translucent,
vanadinite,hexagonal,"bright red, orange-red, red-brown, brown, yellow, whitish, grey or colourless or weakly tinted in transmitted light; pale straw-yellow;. may be concentrically zoned","prismatic or nodular; may be acicular, hairlike, fibrous; rarely rounded, globular",3–4,,brittle,"transparent, translucent or opaque",
pentlandite,isometric,yellowish bronze,hexoctahedral rare; massive to granular,3.5–4,metallic,brittle,opaque,
muscovite,monoclinic,"white, grey, silvery",massive to platy,2–2.5 parallel to {001} 4 right angle to {001},"vitreous, silky, pearly",elastic,transparent to translucent,
augelite,monoclinic,"colorless to white, may be yellowish to pale rose, greenish",tabular to prismatic or acicular crystals; massive,4 - 4.5,"vitreous, pearly on {110} cleavage",brittle,transparent,
